train_number,station,time
112,San Bruno,08:13 AM
112,Millbrae,08:16 AM
112,Burlingame,08:20 AM
112,San Mateo,08:23 AM
112,Hayward Park,08:25 AM
112,Hillsdale,08:27 AM
112,Belmont,08:31 AM
112,San Carlos,08:33 AM
112,Redwood City,08:37 AM
112,Menlo Park,08:41 AM
112,Palo Alto,08:44 AM
112,California Avenue,08:47 AM
112,San Antonio,08:51 AM
112,Mountain View,08:54 AM
112,Sunnyvale,08:58 AM
112,Lawrence,09:01 AM
112,Santa Clara,09:06 AM
112,San Jose Diridon,09:13 AM
112,Tamien,09:18 AM
113,Tamien,07:47 AM
113,San Jose Diridon,07:53 AM
113,College Park,08:01 AM
113,Santa Clara,08:04 AM
113,Lawrence,08:09 AM
113,Sunnyvale,08:12 AM
113,Mountain View,08:16 AM
113,San Antonio,08:19 AM
113,California Avenue,08:22 AM
113,Palo Alto,08:25 AM
113,Menlo Park,08:28 AM
113,Redwood City,08:34 AM
113,San Carlos,08:37 AM
113,Belmont,08:39 AM
113,Hillsdale,08:43 AM
113,Hayward Park,08:45 AM
113,San Mateo,08:47 AM
113,Burlingame,08:50 AM
113,Millbrae,08:54 AM
113,San Bruno,08:57 AM
113,S. San Francisco,09:00 AM
113,Bayshore,09:05 AM
113,22Nd Street,09:10 AM
113,San Francisco,09:16 AM
114,San Francisco,08:25 AM
114,22Nd Street,08:30 AM
114,Bayshore,08:34 AM
114,S. San Francisco,08:40 AM
114,San Bruno,08:43 AM
114,Millbrae,08:46 AM
114,Burlingame,08:50 AM
114,San Mateo,08:53 AM
114,Hayward Park,08:55 AM
114,Hillsdale,08:57 AM
114,Belmont,09:01 AM
114,San Carlos,09:03 AM
114,Redwood City,09:07 AM
114,Menlo Park,09:11 AM
114,Palo Alto,09:14 AM
114,California Avenue,09:17 AM
114,San Antonio,09:21 AM
114,Mountain View,09:24 AM
114,Sunnyvale,09:28 AM
114,Lawrence,09:31 AM
114,Santa Clara,09:36 AM
114,San Jose Diridon,09:42 AM
115,San Jose Diridon,08:28 AM
115,Santa Clara,08:34 AM
115,Lawrence,08:39 AM
115,Sunnyvale,08:42 AM
115,Mountain View,08:46 AM
115,San Antonio,08:49 AM
115,California Avenue,08:52 AM
115,Palo Alto,08:55 AM
115,Menlo Park,08:58 AM
115,Redwood City,09:03 AM
115,San Carlos,09:07 AM
115,Belmont,09:09 AM
115,Hillsdale,09:12 AM
115,Hayward Park,09:15 AM
115,San Mateo,09:17 AM
115,Burlingame,09:20 AM
115,Millbrae,09:24 AM
115,San Bruno,09:27 AM
115,S. San Francisco,09:30 AM
115,Bayshore,09:35 AM
115,22Nd Street,09:40 AM
115,San Francisco,09:46 AM
116,San Francisco,08:55 AM
116,22Nd Street,09:00 AM
116,Bayshore,09:04 AM
116,S. San Francisco,09:10 AM
116,San Bruno,09:13 AM
116,Millbrae,09:16 AM
116,Burlingame,09:20 AM
116,San Mateo,09:23 AM
116,Hayward Park,09:25 AM
116,Hillsdale,09:27 AM
116,Belmont,09:31 AM
116,San Carlos,09:33 AM
116,Redwood City,09:37 AM
116,Menlo Park,09:41 AM
116,Palo Alto,09:44 AM
116,California Avenue,09:47 AM
116,San Antonio,09:51 AM
116,Mountain View,09:54 AM
116,Sunnyvale,09:58 AM
116,Lawrence,10:01 AM
116,Santa Clara,10:06 AM
116,San Jose Diridon,10:13 AM
116,Tamien,10:18 AM
117,Tamien,08:52 AM
117,San Jose Diridon,08:58 AM
117,Santa Clara,09:04 AM
117,Lawrence,09:09 AM
117,Sunnyvale,09:12 AM
117,Mountain View,09:16 AM
117,San Antonio,09:19 AM
117,California Avenue,09:22 AM
117,Palo Alto,09:25 AM
